vref,target,reference
GEN 6:15,"And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.","And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
GEN 6:16,"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.","A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it."
GEN 6:17,"And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die.","And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die."
GEN 6:18,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons’ wives with thee.","But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons’ wives with thee."
GEN 6:19,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female.","And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female."
GEN 6:20,"Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive.","Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive."
GEN 6:21,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.","And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them."
GEN 6:22,"Thus did Noah; according to all that God commanded him, so did he.","Thus did Noah; according to all that God commanded him, so did he."
GEN 7:1,"And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation.","And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation."
GEN 7:2,"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female.","Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female."
GEN 7:3,"Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth.","Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth."
GEN 7:4,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth.","For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth."
GEN 7:5,And Noah did according unto all that the LORD commanded him.,And Noah did according unto all that the LORD commanded him.
GEN 7:6,And Noah was six hundred years old when the flood of waters was upon the earth.,And Noah was six hundred years old when the flood of waters was upon the earth.
GEN 7:7,"¶ And Noah went in, and his sons, and his wife, and his sons’ wives with him, into the ark, because of the waters of the flood.","¶ And Noah went in, and his sons, and his wife, and his sons’ wives with him, into the ark, because of the waters of the flood."
GEN 7:8,"Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,","Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,"
GEN 7:9,"There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah.","There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah."
GEN 7:10,"And it came to pass after seven days, that the waters of the flood were upon the earth.","And it came to pass after seven days, that the waters of the flood were upon the earth."
GEN 7:11,"¶ In the six hundredth year of Noah’s life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened.","¶ In the six hundredth year of Noah’s life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
GEN 7:12,And the rain was upon the earth forty days and forty nights.,And the rain was upon the earth forty days and forty nights.
GEN 7:13,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah’s wife, and the three wives of his sons with them, into the ark;","In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah’s wife, and the three wives of his sons with them, into the ark;"
GEN 7:14,"They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort.","They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
GEN 7:15,"And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life.","And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life."
